count,PT.xy,enable,used,BG,IndexName,rotate,rotateSpd,Button,Func,normal,over,select,disenable
cUILoadingClientBegin,1500,900,0.8,,,,,,,,,,
2,PT.xy,enable,used,BG,IndexName,rotate,rotateSpd,Button,Func,normal,over,select,disenable
585,450,1,0,0,l1,0,0,1,1000,mainmenu_btn_ready_1.dds,mainmenu_btn_ready_2.dds,mainmenu_btn_ready_2.dds,mainmenu_btn_ready_3.dds
0,0,1,0,1,bg,0,0,0,0,ingame_loading_bg9.png,0,0,0
,,,,,,,,,,,,,
cUILoadingInGame,,,,,,,,,,,,,
1,PT.xy,enable,used,BG,IndexName,rotate,rotateSpd,Button,Func,normal,over,select,disenable
0,0,1,0,1,bg,0,0,0,0,ingame_loading_bg10.png,0,0,0
,,,,,,,,,,,,,
cMainMenu,,,,,,,,,,,,,
25,PT.xy,enable,used,BG,IndexName,rotate,rotateSpd,Button,Func,normal,over,select,disenable
0,0,1,0,1,BG1,0,0,0,0,mainmenu_img_bg_1.png,0,0,0
-110,579,1,0,1,BG2,0,0,0,0,mainmenu_img_bg_2.png,0,0,0
585,630,1,0,0,ready,0,0,1,50,mainmenu_btn_ready_1.dds,mainmenu_btn_ready_2.dds,mainmenu_btn_ready_2.dds,mainmenu_btn_ready_3.dds
50,620,1,0,0,heroabil,0,0,1,2,mainmenu_btn_heroinfo_ability_0.png,mainmenu_btn_heroinfo_ability_1.png,mainmenu_btn_heroinfo_ability_2.dds,mainmenu_btn_heroinfo_ability_3.png
140,620,1,0,0,heroinfo,0,0,1,1,mainmenu_btn_heroinfo_equip_0.png,mainmenu_btn_heroinfo_equip_1.png,mainmenu_btn_heroinfo_equip_2.dds,mainmenu_btn_heroinfo_equip_3.png
230,620,1,0,0,herotalent,0,0,1,3,mainmenu_btn_heroinfo_talents_0.png,mainmenu_btn_heroinfo_talents_1.png,mainmenu_btn_heroinfo_talents_2.dds,mainmenu_btn_heroinfo_talents_3.png
1145,10,1,0,0,friend1,0,0,1,99,mainmenu_btn_teamslot_1.png,mainmenu_btn_teamslot_2.png,mainmenu_btn_teamslot_2.png,mainmenu_btn_teamslot_1.png
1210,10,1,0,0,friend2,0,0,1,99,mainmenu_btn_teamslot_1.png,mainmenu_btn_teamslot_2.png,mainmenu_btn_teamslot_2.png,mainmenu_btn_teamslot_1.png
1275,10,1,0,0,friend3,0,0,1,99,mainmenu_btn_teamslot_1.png,mainmenu_btn_teamslot_2.png,mainmenu_btn_teamslot_2.png,mainmenu_btn_teamslot_1.png
1340,10,1,0,0,friend4,0,0,1,99,mainmenu_btn_teamslot_1.png,mainmenu_btn_teamslot_2.png,mainmenu_btn_teamslot_2.png,mainmenu_btn_teamslot_1.png
1400,8,1,0,0,myinfo,0,0,1,99,mainmenu_btn_teamslotbg_1.png,mainmenu_btn_teamslotbg_2.png,mainmenu_btn_teamslotbg_2.png,mainmenu_btn_teamslotbg_2.png
